"theme_id","class_id","source_id","locator","source_role","coding_state","boundary_pair","residual_tag","claim_summary","paper_use"
"C3-EF-03","Credential and Attestation Object Semantics","SRC-L-EBW-04","Article 8(3)-(6), PDF p. 38 / EN 37","normative_core","explicitly_framed","","","Treats owner identification data itself as an attestation-format object with minimum attributes and an attestation scheme.","main_result"
"C3-EF-04","Credential and Attestation Object Semantics","SRC-L-EBW-05","Annex point 17(1)-(3), PDF p. 8 / EN 7","normative_core","explicitly_framed","","","Requires EAAs issued to wallet units to comply with listed standards, issuer self-identification by access certificate, and inclusion of information needed for authentication and validation.","main_result"
"C3-IS-01","Credential and Attestation Object Semantics","SRC-L-EBW-09","Section 2.1.2, PDF pp. 13-14 / internal pp. 12-13","interpretive_core","indirectly_shaped","","","Shows the attestation space as broader than identity: licences, certificates, compliance data, VAT, beneficial ownership, procurement, CE conformity, and other business credentials need exchangeable semantics.","main_result"
"C3-IS-02","Credential and Attestation Object Semantics","SRC-L-EBW-09","Section 5.2, PDF p. 31 / internal p. 30","interpretive_core","indirectly_shaped","","","Explains linked attestations as reusable documentation, allowing information to remain reliable and trusted across procedures without resubmission.","main_result"
"C3-DG-01","Credential and Attestation Object Semantics","SRC-L-EBW-04","Article 5(5), PDF p. 34 / EN 33","normative_core","delegated","","","Delegates the reference standards, specifications, and procedures for core attestation functions to implementing acts.","main_result"
"C3-DG-02","Credential and Attestation Object Semantics","SRC-L-EBW-05","Annex point 12(4)(a) and point 17(1), PDF pp. 7-8 / EN 6-7","normative_core","delegated","","","Leaves concrete role/attribute representation formats and EAA technical standards to implementing-act standard lists rather than fixing them in the proposal or annex.","main_result"
"C4-EF-01","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-04","Article 5(1)(a),(i),(l)-(n), PDF pp. 33-34 / EN 32-33","normative_core","explicitly_framed","","","Frames lifecycle and exchange through storing, deleting, sharing, QERDS transmission, data export, transaction logs, and a communication dashboard.","main_result"
"C4-EF-02","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-04","Article 6(2)(f)-(g), PDF pp. 35-36 / EN 34-35","normative_core","explicitly_framed","","","Requires wallet validity revocation in specified circumstances and public notification of validation mechanisms.","main_result"
"C4-EF-03","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-05","Annex point 6(1)-(3), PDF pp. 3-4 / EN 2-3","normative_core","explicitly_framed","","","Requires a public revocation policy for wallet unit attestations, user notice within 24 hours, and public validity-status information.","main_result"
"C4-EF-04","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-05","Annex point 7(1)-(6), PDF p. 4 / EN 3","normative_core","explicitly_framed","","","Specifies transaction logs covering signatures, seals, notifications, counterparties, requested/presented data, failed transactions, integrity/confidentiality, provider access, and legally required retention.","main_result"
"C4-EF-05","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-05","Annex point 10, PDF p. 5 / EN 4","normative_core","explicitly_framed","","","Requires secure export and portability of owner wallet data in at least an open format with assurance at least substantial.","main_result"
"C4-EF-06","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-05","Annex points 14-16, PDF pp. 7-8 / EN 6-7","normative_core","explicitly_framed","","","Specifies issuance, delivery, activation, authenticity/validity verification, and cryptographic binding of owner identification data and attestations to wallet units.","main_result"
"C4-IS-01","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-09","Section 3.7, PDF p. 74 / internal p. 73","interpretive_core","indirectly_shaped","","","Stakeholders read lifecycle control as requiring register updates, real-time validation, validity-period handling, and revocation mechanisms for credentials and powers of attorney.","main_result"
"C4-IS-02","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-09","Section 2.1.2, PDF pp. 15-16 / internal pp. 14-15","interpretive_core","indirectly_shaped","","","Connects lifecycle/event state to business traceability, ERP/KYC integration, audit gaps, and tracking of shared attributes in professional contexts.","main_result"
"C4-OP-01","Credential Lifecycle, Exchange, and Event State","SRC-L-EBW-05","Annex point 7(6), PDF p. 4 / EN 3","normative_core","open","","","Leaves concrete log retention duration to Union or national law rather than fixing an EUBW-specific retention period.","limitation"
"C5-EF-01","Institutional Trust and Governance Framework","SRC-L-EBW-04","Article 7(1)-(5), PDF pp. 36-37 / EN 35-36","normative_core","explicitly_framed","","","Requires providers to be listed, Union-established, not controlled by high-risk third-country actors, and compliant with eIDAS, NIS2, cybersecurity, and supplier-security requirements.","main_result"
"C5-EF-02","Institutional Trust and Governance Framework","SRC-L-EBW-04","Article 11(1)-(7), PDF pp. 40-41 / EN 39-40","normative_core","explicitly_framed","","","Creates a notification mechanism for wallet providers, including required provider information, functionality descriptions, conformity declarations, review timelines, and judicial remedy.","main_result"
"C5-EF-03","Institutional Trust and Governance Framework","SRC-L-EBW-04","Article 12(1)-(3), PDF p. 41 / EN 40","normative_core","explicitly_framed","","","Requires Commission-maintained machine-readable listing of notified providers based on supervisory-body information.","main_result"
"C5-EF-04","Institutional Trust and Governance Framework","SRC-L-EBW-04","Article 13(1)-(13), PDF pp. 41-44 / EN 40-43","normative_core","explicitly_framed","","","Allocates supervision to eIDAS supervisory bodies, including notification review, investigations, remedy duties, breach cooperation, penalties, provider removal, and Commission emergency intervention.","main_result"
"C5-EF-05","Institutional Trust and Governance Framework","SRC-L-EBW-04","Articles 14-15, PDF pp. 44-45 / EN 43-44","normative_core","explicitly_framed","","","Extends the European Digital Identity Cooperation Group and sets Commission supervision for Union-entity wallet providers.","main_result"
"C5-EF-06","Institutional Trust and Governance Framework","SRC-L-EBW-04","Article 17(1)-(5), PDF pp. 45-46 / EN 44-45","normative_core","explicitly_framed","","","Provides a third-country equivalence mechanism for similar business wallets or frameworks based on interoperability and functional assurance.","main_result"
"C5-IS-01","Institutional Trust and Governance Framework","SRC-L-EBW-09","Sections 5 and 5.1, PDF pp. 29-30 / internal pp. 28-29","interpretive_core","indirectly_shaped","","","Interprets EUBW as a coherent extension of the EUDI framework, not a separate framework, with interoperability between EUDI Wallets and EUBWs as a defining principle.","main_result"
"C5-IS-02","Institutional Trust and Governance Framework","SRC-L-EBW-09","Section 3.8, PDF p. 74 / internal p. 73","interpretive_core","indirectly_shaped","","","Reports stakeholder pressure for regulation to focus on trustworthy verifiable credentials, legal effect, interoperability, open standards, and provider competition rather than rigid wallet design.","main_result"
"C5-OP-01","Institutional Trust and Governance Framework","SRC-L-EBW-04","Recital 40 and Article 11(4)-(6), PDF pp. 23-24 and 40-41 / EN 22-23 and 39-40","normative_core","open","","","The assurance model is mainly streamlined notification and ex post supervision; the proposal does not create full prior compliance verification for every provider operation.","limitation"
"C6-EF-01","Enterprise Integration and Operational Control","SRC-L-EBW-04","Article 6(1)(a)-(l), PDF pp. 34-35 / EN 33-34","normative_core","explicitly_framed","","","Requires common protocols and interfaces for issuance, relying-party requests, sharing, automated interaction, remote onboarding, EUDI/EUBW interaction, relying-party authentication, QERDS, digital addresses, unit attestations, and critical assets.","main_result"
"C6-EF-02","Enterprise Integration and Operational Control","SRC-L-EBW-04","Article 6(2)(a)-(e), PDF pp. 35-36 / EN 34-35","normative_core","explicitly_framed","","","Requires owner ID association, interoperable and auditable role mappings, real-time prevention of conflicts/over-delegation/expired authorisations, security by design, validation mechanisms, and support/reporting channels.","main_result"
"C6-EF-03","Enterprise Integration and Operational Control","SRC-L-EBW-05","Annex points 1-4, PDF pp. 2-3 / EN 1-2","normative_core","explicitly_framed","","","Specifies user authentication, wallet-unit integrity, secure back-end/front-end/cryptographic-device communication, critical-asset management, and secure cryptographic application/device capabilities.","main_result"
"C6-EF-04","Enterprise Integration and Operational Control","SRC-L-EBW-05","Annex point 11(1)-(3), PDF pp. 5-6 / EN 4-5","normative_core","explicitly_framed","","","Requires mandatory integration with a specific QERDS as secure legal communication channel, with open standards, end-to-end encryption, availability, redundancy, fallback, and provider technical integration.","main_result"
"C6-EF-05","Enterprise Integration and Operational Control","SRC-L-EBW-05","Annex point 13(1)-(4), PDF p. 7 / EN 6","normative_core","explicitly_framed","","","Requires protocol/interface support for request authorisation, relying-party or unit authentication, user display of certificate/attestation information, requested attributes, and presentation of wallet unit attestations.","main_result"
"C6-EF-06","Enterprise Integration and Operational Control","SRC-L-EBW-05","Annex point 15(1)-(3), PDF p. 8 / EN 7","normative_core","explicitly_framed","","","Requires presentation protocols and interfaces to relying parties and proof of possession of private keys corresponding to cryptographic bindings.","main_result"
"C6-EF-07","Enterprise Integration and Operational Control","SRC-L-EBW-04","Article 5(1)(l)-(n), PDF pp. 33-34 / EN 32-33","normative_core","explicitly_framed","","","Makes machine-readable export, transaction-log access, and common dashboard access core operational controls for enterprise use.","main_result"
"C6-IS-01","Enterprise Integration and Operational Control","SRC-L-EBW-09","Section 5.2, PDF pp. 32-33 / internal pp. 31-32","interpretive_core","indirectly_shaped","","","Interprets EUBW operational value through ERP/CRM and core business application integration, secure APIs, portability, no vendor lock-in, and future readiness for AI or asset identity.","main_result"
"C6-IS-02","Enterprise Integration and Operational Control","SRC-L-EBW-09","Section 3.8, PDF pp. 74-75 / internal pp. 73-74","interpretive_core","indirectly_shaped","","","Stakeholders expect multiple implementation models, including mobile, enterprise-integrated, and cloud solutions, based on open interoperable standards and integration with existing business systems.","main_result"
"C6-DG-01","Enterprise Integration and Operational Control","SRC-L-EBW-04","Article 6(5), PDF p. 36 / EN 35","normative_core","delegated","","","Delegates detailed standards, specifications, and procedures for technical features to implementing acts.","main_result"
"C6-OP-01","Enterprise Integration and Operational Control","SRC-L-EBW-09","Section 3.11, PDF pp. 76-77 / internal pp. 75-76","interpretive_core","open","","","Leaves operational viability dependent on integration quality, usability, minimal user interaction, training, and adoption readiness, especially for SMEs and larger enterprises with existing systems.","limitation"
"B12-HOLD-01","boundary_1_2","SRC-L-EBW-04","Article 3(2),(18),(19), PDF p. 30 / EN 29","normative_core","explicitly_framed","1/2","","The 1/2 boundary holds because owner identification data and mandates are separately defined as identity versus authority concepts.","boundary_result"
"B12-STRAIN-01","boundary_1_2","SRC-L-EBW-05","Annex point 12(1), PDF p. 6 / EN 5","normative_core","indirectly_shaped","1/2","","The 1/2 boundary strains because a single access-control decision combines acting-subject attestations, formal role, mandate scope/validity/constraints, and policy context.","boundary_result"
"B12-STRAIN-02","boundary_1_2","SRC-L-EBW-09","Section 2.1.1, PDF pp. 11-12 / internal pp. 10-11","interpretive_core","indirectly_shaped","1/2","","The 1/2 boundary strains in practice because multi-layered representation and internal mandates can make identity and authority verification inseparable in cross-border operations.","boundary_result"
"B34-HOLD-01","boundary_3_4","SRC-L-EBW-04","Article 3(10)-(11),(24),(32)-(34), PDF pp. 30-31 / EN 29-30","normative_core","explicitly_framed","3/4","","The 3/4 boundary holds because the proposal separately defines credential and attestation object types before lifecycle handling.","boundary_result"
"B34-HOLD-02","boundary_3_4","SRC-L-EBW-05","Annex points 6-7, PDF pp. 3-4 / EN 2-3","normative_core","explicitly_framed","3/4","","The 3/4 boundary holds because the annex separately specifies revocation policy, validity status, transaction logging, and retention as lifecycle/event-state requirements.","boundary_result"
"B34-STRAIN-01","boundary_3_4","SRC-L-EBW-04","Recital 27 and Article 5(1)(g), PDF pp. 20-21 and 33 / EN 19-20 and 32","normative_core","indirectly_shaped","3/4","","The 3/4 boundary strains because linked attestations are both an object-semantic structure and a reuse/exchange lifecycle mechanism.","boundary_result"
"B34-STRAIN-02","boundary_3_4","SRC-L-EBW-05","Annex point 14(2), PDF pp. 7-8 / EN 6-7","normative_core","indirectly_shaped","3/4","","The 3/4 boundary strains because issuance provisions combine format support, delivery, activation, authenticity, and validity checks in one operational cluster.","boundary_result"
"B56-HOLD-01","boundary_5_6","SRC-L-EBW-04","Articles 11-13, PDF pp. 40-44 / EN 39-43","normative_core","explicitly_framed","5/6","","The 5/6 boundary holds because notification, provider listing, supervisory tasks, penalties, and Commission intervention are institutional-governance mechanisms.","boundary_result"
"B56-HOLD-02","boundary_5_6","SRC-L-EBW-05","Annex points 1-4 and 11, PDF pp. 2-6 / EN 1-5","normative_core","explicitly_framed","5/6","","The 5/6 boundary holds because authentication, cryptographic devices, secure communication, QERDS integration, redundancy, and fallback are operational-control requirements.","boundary_result"
"B56-STRAIN-01","boundary_5_6","SRC-L-EBW-04","Article 7(4)-(5) and Article 6(2)(c), PDF pp. 35-37 / EN 34-36","normative_core","indirectly_shaped","5/6","","The 5/6 boundary strains because provider governance imports cybersecurity, high-risk-supplier, and security-by-design obligations that directly shape operational architecture and supply-chain control.","boundary_result"
"B56-STRAIN-02","boundary_5_6","SRC-L-EBW-09","Section 3.8, PDF pp. 74-75 / internal pp. 73-74","interpretive_core","indirectly_shaped","5/6","","The 5/6 boundary strains because stakeholders want legal-effect/interoperability governance without rigid architecture, while also expecting access controls, audit logs, traceability, and fraud safeguards as standard features.","boundary_result"
"R-MKT-01","residual_envelope","SRC-L-EBW-09","Section 2.2.4, PDF pp. 65-66 / internal pp. 64-65","interpretive_core","indirectly_shaped","","market_business_model_and_rollout_economics","Market-driven deployment, paid service models, fair competition, and provider ecosystem design are important to uptake but are not cleanly wallet requirement classes.","residual_result"
"R-MKT-02","residual_envelope","SRC-L-EBW-09","Sections 3.10-3.11, PDF pp. 75-77 / internal pp. 74-76","interpretive_core","indirectly_shaped","","market_business_model_and_rollout_economics","SME price sensitivity, free implementation demands, provider pricing models, training, and adoption readiness belong mainly to rollout economics rather than the six wallet requirement classes.","residual_result"
"R-MKT-03","residual_envelope","SRC-L-EBW-09","Annex 3 section 1, PDF pp. 78-80 / internal pp. 77-79","interpretive_core","indirectly_shaped","","market_business_model_and_rollout_economics","Cost and benefit estimates for microenterprises, SMEs, corporates, PSBs, and providers support business-case framing but do not alter the core class model.","residual_result"
"R-META-01","residual_envelope","SRC-L-EBW-04","Article 21(1)-(2), PDF pp. 48-49 / EN 47-48","normative_core","explicitly_framed","","meta_governance_enforcement_review","Regulatory evaluation and review duties are relevant to monitoring the initiative but sit outside the core wallet-requirement classes unless used narrowly for governance context.","residual_result"
"R-META-02","residual_envelope","SRC-L-EBW-09","Section 9, PDF pp. 54-56 / internal pp. 53-55","interpretive_core","indirectly_shaped","","meta_governance_enforcement_review","Monitoring indicators for administrative burden, public service delivery, competitiveness, provider counts, penalties, and wallets issued are meta-evaluation material rather than wallet class substance.","residual_result"
"R-META-03","residual_envelope","SRC-L-EBW-04","Article 13(6)-(13), PDF pp. 43-44 / EN 42-43","normative_core","explicitly_framed","","meta_governance_enforcement_review","Penalty scales and exceptional Commission corrective/restrictive measures are enforcement mechanics; they support trust governance but are residual if the paper is deriving wallet requirement classes.","residual_result"
